State,Yearly July 1st Estimates,Population
District of Columbia,2006,570681
District of Columbia,2007,574404
District of Columbia,2008,580236
District of Columbia,2009,592228
District of Columbia,2010,605282
District of Columbia,2011,620290
District of Columbia,2012,635737
District of Columbia,2013,651559
District of Columbia,2014,663603
District of Columbia,2015,677014
District of Columbia,2016,687576
District of Columbia,2017,697079
District of Columbia,2018,704147
District of Columbia,2019,708253
District of Columbia,2020,712816
District of Columbia,,18948374
Florida,1990,13033307
Florida,1991,13369798
Florida,1992,13650553
Florida,1993,13927185
Florida,1994,14239444
Florida,1995,14537875
Florida,1996,14853360
Florida,1997,15186304
Florida,1998,15486559
Florida,1999,15759421
Florida,2000,16047515
Florida,2001,16356966
Florida,2002,16689370
Florida,2003,17004085
Florida,2004,17415318
Florida,2005,17842038
Florida,2006,18166990
Florida,2007,18367842
Florida,2008,18527305
Florida,2009,18652644
Florida,2010,18846143
Florida,2011,19055607
Florida,2012,19302016
Florida,2013,19551678
Florida,2014,19853880
Florida,2015,20219111
Florida,2016,20627237
Florida,2017,20977089
Florida,2018,21254926
Florida,2019,21492056
Florida,2020,21733312
Florida,,542026934
Georgia,1990,6512602
Georgia,1991,6653005
Georgia,1992,6817203
Georgia,1993,6978240
Georgia,1994,7157165
Georgia,1995,7328413
Georgia,1996,7501069
Georgia,1997,7685099
Georgia,1998,7863536
Georgia,1999,8045965
Georgia,2000,8227303
Georgia,2001,8377038
Georgia,2002,8508256
Georgia,2003,8622793
Georgia,2004,8769252
Georgia,2005,8925922
Georgia,2006,9155813
Georgia,2007,9349988
Georgia,2008,9504843
Georgia,2009,9620846
Georgia,2010,9712209
Georgia,2011,9803630
Georgia,2012,9903580
Georgia,2013,9975592
Georgia,2014,10071204
Georgia,2015,10183353
Georgia,2016,10308442
Georgia,2017,10417031
Georgia,2018,10519389
Georgia,2019,10628020
Georgia,2020,10710017
Georgia,,273836818
Hawaii,1990,1113491
Hawaii,1991,1136754
Hawaii,1992,1158613
Hawaii,1993,1172838
Hawaii,1994,1187536
Hawaii,1995,1196854
Hawaii,1996,1203755
Hawaii,1997,1211640
Hawaii,1998,1215233
Hawaii,1999,1210300
Hawaii,2000,1213519
Hawaii,2001,1225948
Hawaii,2002,1239613
Hawaii,2003,1251154
Hawaii,2004,1273569
Hawaii,2005,1292729
Hawaii,2006,1309731
Hawaii,2007,1315675
Hawaii,2008,1332213
Hawaii,2009,1346717
Hawaii,2010,1364004
Hawaii,2011,1379562
Hawaii,2012,1395199
Hawaii,2013,1408822
Hawaii,2014,1415335
Hawaii,2015,1422999
Hawaii,2016,1428885
Hawaii,2017,1425763
Hawaii,2018,1423102
Hawaii,2019,1415615
Hawaii,2020,1407006
Hawaii,,40094174
Idaho,1990,1012384
Idaho,1991,1041316
Idaho,1992,1071685
Idaho,1993,1108768
Idaho,1994,1145140
Idaho,1995,1177322
Idaho,1996,1203083
Idaho,1997,1228520
Idaho,1998,1252330
Idaho,1999,1275674
Idaho,2000,1299430
Idaho,2001,1319962
Idaho,2002,1340372
Idaho,2003,1363380
Idaho,2004,1391802
Idaho,2005,1428241
Idaho,2006,1468669
Idaho,2007,1505105
Idaho,2008,1534320
Idaho,2009,1554439
Idaho,2010,1570819
Idaho,2011,1584272
Idaho,2012,1595910
Idaho,2013,1612053
Idaho,2014,1632248
Idaho,2015,1652495
Idaho,2016,1684036
Idaho,2017,1719745
Idaho,2018,1752074
Idaho,2019,1789060
Idaho,2020,1826913
Idaho,,44141567
Illinois,1990,11453316
Illinois,1991,11568964
Illinois,1992,11694184
Illinois,1993,11809579
Illinois,1994,11912585
Illinois,1995,12008437
Illinois,1996,12101997
Illinois,1997,12185715
Illinois,1998,12271847
Illinois,1999,12359020
Illinois,2000,12434161
Illinois,2001,12488445
Illinois,2002,12525556
Illinois,2003,12556006
Illinois,2004,12589773
Illinois,2005,12609903
Illinois,2006,12643955
Illinois,2007,12695866
Illinois,2008,12747038
Illinois,2009,12796778
Illinois,2010,12840545
Illinois,2011,12867783
Illinois,2012,12883029
Illinois,2013,12895778
Illinois,2014,12885092
Illinois,2015,12859585
Illinois,2016,12821709
Illinois,2017,12779893
Illinois,2018,12724685
Illinois,2019,12667017
Illinois,2020,12587530
Illinois,,386265771
Indiana,1990,5557798
Indiana,1991,5616388
Indiana,1992,5674547
Indiana,1993,5739019
Indiana,1994,5793526
Indiana,1995,5851459
Indiana,1996,5906013
Indiana,1997,5955267
Indiana,1998,5998880
Indiana,1999,6044969
Indiana,2000,6091866
Indiana,2001,6127760
Indiana,2002,6155967
Indiana,2003,6196638
Indiana,2004,6233007
Indiana,2005,6278616
Indiana,2006,6332669
Indiana,2007,6379599
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6490555
Indiana,2011,6517250
Indiana,2012,6538989
Indiana,2013,6570575
Indiana,2014,6596019
Indiana,2015,6611442
Indiana,2016,6637898
Indiana,2017,6662068
Indiana,2018,6698481
Indiana,2019,6731010
Indiana,2020,6754953
Indiana,,193627359
Iowa,1990,2781018
Iowa,1991,2797613
Iowa,1992,2818401
Iowa,1993,2836972
Iowa,1994,2850746
Iowa,1995,2867373
Iowa,1996,2880000
Iowa,1997,2891119
Iowa,1998,2902872
Iowa,1999,2917634
Iowa,2000,2929067
Iowa,2001,2931997
Iowa,2002,2934234
Iowa,2003,2941999
Iowa,2004,2953635
Iowa,2005,2964454
Iowa,2006,2982644
Iowa,2007,2999212
Iowa,2008,3016734
Iowa,2009,3032870
Iowa,2010,3050819
Iowa,2011,3066772
Iowa,2012,3076844
Iowa,2013,3093935
Iowa,2014,3110643
Iowa,2015,3122541
Iowa,2016,3133210
Iowa,2017,3143734
Iowa,2018,3149900
Iowa,2019,3159596
Iowa,2020,3163561
Iowa,,92502149
Kansas,1990,2481349
Kansas,1991,2498722
Kansas,1992,2532394
Kansas,1993,2556547
Kansas,1994,2580513
Kansas,1995,2601007
Kansas,1996,2614554
Kansas,1997,2635292
Kansas,1998,2660598
Kansas,1999,2678338
Kansas,2000,2693681
Kansas,2001,2702162
Kansas,2002,2713535
Kansas,2003,2723004
Kansas,2004,2734373
Kansas,2005,2745299
Kansas,2006,2762931
Kansas,2007,2783785
Kansas,2008,2808076
Kansas,2009,2832704
Kansas,2010,2858266
Kansas,2011,2869677
Kansas,2012,2886024
Kansas,2013,2894306
Kansas,2014,2901861
Kansas,2015,2910717
Kansas,2016,2912977
Kansas,2017,2910892
Kansas,2018,2912748
Kansas,2019,2912635
Kansas,2020,2913805
Kansas,,85222772
Kentucky,1990,3694048
Kentucky,1991,3722328
Kentucky,1992,3765469
Kentucky,1993,3812206
Kentucky,1994,3849088
Kentucky,1995,3887427
Kentucky,1996,3919535
Kentucky,1997,3952747
Kentucky,1998,3985390
Kentucky,1999,4018053
Kentucky,2000,4049021
Kentucky,2001,4068132
Kentucky,2002,4089875
Kentucky,2003,4117170
Kentucky,2004,4146101
Kentucky,2005,4182742
Kentucky,2006,4219239
Kentucky,2007,4256672
Kentucky,2008,4289878
Kentucky,2009,4317074
Kentucky,2010,4348464
Kentucky,2011,4370817
Kentucky,2012,4387865
Kentucky,2013,4406906
Kentucky,2014,4416992
Kentucky,2015,4429126
Kentucky,2016,4440306
Kentucky,2017,4455590
Kentucky,2018,4464273
Kentucky,2019,4472345
Kentucky,2020,4477251
Kentucky,,129012130
Louisiana,1990,4221532
Louisiana,1991,4253279
Louisiana,1992,4293003
Louisiana,1993,4316428
Louisiana,1994,4347481
Louisiana,1995,4378779
Louisiana,1996,4398877
Louisiana,1997,4421071
Louisiana,1998,4440344
Louisiana,1999,4460811
Louisiana,2000,4471885
Louisiana,2001,4477875
Louisiana,2002,4497267
Louisiana,2003,4521042
Louisiana,2004,4552238
Louisiana,2005,4576628
Louisiana,2006,4302665
Louisiana,2007,4375581
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544635
Louisiana,2011,4576244
Louisiana,2012,4602067
Louisiana,2013,4626040
Louisiana,2014,4645938
Louisiana,2015,4666998
Louisiana,2016,4681346
Louisiana,2017,4673673
Louisiana,2018,4664450
Louisiana,2019,4658285
Louisiana,2020,4645318
Louisiana,,139219014
Maine,1990,1231719
Maine,1991,1237081
Maine,1992,1238508
Maine,1993,1242302
Maine,1994,1242662
Maine,1995,1243480
Maine,1996,1249060
Maine,1997,1254774
Maine,1998,1259127
Maine,1999,1266808
Maine,2000,1277072
Maine,2001,1285692
Maine,2002,1295960
Maine,2003,1306513
Maine,2004,1313688
Maine,2005,1318787
Maine,2006,1323619
Maine,2007,1327040
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327651
Maine,2011,1328473
Maine,2012,1328094
Maine,2013,1328543
Maine,2014,1331217
Maine,2015,1329098
Maine,2016,1332348
Maine,2017,1335743
Maine,2018,1340123
Maine,2019,1345770
Maine,2020,1350141
Maine,,40251192
Maryland,1990,4799770
Maryland,1991,4867641
Maryland,1992,4923368
Maryland,1993,4971889
Maryland,1994,5023060
Maryland,1995,5070033
Maryland,1996,5111986
Maryland,1997,5157328
Maryland,1998,5204464
Maryland,1999,5254509
Maryland,2000,5311034
Maryland,2001,5374691
Maryland,2002,5440389
Maryland,2003,5496269
Maryland,2004,5546935
Maryland,2005,5592379
Maryland,2006,5627367
Maryland,2007,5653408
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5788784
Maryland,2011,5840241
Maryland,2012,5888375
Maryland,2013,5925197
Maryland,2014,5960064
Maryland,2015,5988528
Maryland,2016,6007014
Maryland,2017,6028186
Maryland,2018,6042153
Maryland,2019,6054954
Maryland,2020,6055802
Maryland,,171421171
Massachusetts,1990,6022639
Massachusetts,1991,6018470
Massachusetts,1992,6028709
Massachusetts,1993,6060569
Massachusetts,1994,6095241
Massachusetts,1995,6141445
Massachusetts,1996,6179756
Massachusetts,1997,6226058
Massachusetts,1998,6271838
Massachusetts,1999,6317345
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6566440
Massachusetts,2011,6614218
Massachusetts,2012,6664269
Massachusetts,2013,6715158
Massachusetts,2014,6764864
Massachusetts,2015,6797484
Massachusetts,2016,6827280
Massachusetts,2017,6863560
Massachusetts,2018,6885720
Massachusetts,2019,6894883
Massachusetts,2020,6893574
Massachusetts,,200091823
Michigan,1990,9311319
Michigan,1991,9400446
Michigan,1992,9479065
Michigan,1993,9540114
Michigan,1994,9597737
Michigan,1995,9676211
Michigan,1996,9758645
Michigan,1997,9809051
Michigan,1998,9847942
Michigan,1999,9897116
Michigan,2000,9952450
Michigan,2001,9991120
Michigan,2002,10015710
Michigan,2003,10041152
Michigan,2004,10055315
Michigan,2005,10051137
Michigan,2006,10036081
Michigan,2007,10001284
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9877597
Michigan,2011,9883053
Michigan,2012,9898289
Michigan,2013,9914802
Michigan,2014,9932033
Michigan,2015,9934483
Michigan,2016,9954117
Michigan,2017,9976752
Michigan,2018,9987286
Michigan,2019,9984795
Michigan,2020,9966555
Michigan,,305620137
Minnesota,1990,4389857
Minnesota,1991,4440859
Minnesota,1992,4495572
Minnesota,1993,4555954
Minnesota,1994,4610355
Minnesota,1995,4660180
Minnesota,1996,4712827
Minnesota,1997,4763390
Minnesota,1998,4813412
Minnesota,1999,4873481
Minnesota,2000,4933692
Minnesota,2001,4982796
Minnesota,2002,5018935
Minnesota,2003,5053572
Minnesota,2004,5087713
Minnesota,2005,5119598
Minnesota,2006,5163555
Minnesota,2007,5207203
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5310934
Minnesota,2011,5346620
Minnesota,2012,5377500
Minnesota,2013,5414722
Minnesota,2014,5452665
Minnesota,2015,5484002
Minnesota,2016,5525360
Minnesota,2017,5569283
Minnesota,2018,5608762
Minnesota,2019,5640053
Minnesota,2020,5657342
Minnesota,,157798415
Mississippi,1990,2578897
Mississippi,1991,2598733
Mississippi,1992,2623734
Mississippi,1993,2655100
Mississippi,1994,2688992
Mississippi,1995,2722659
Mississippi,1996,2748085
Mississippi,1997,2777004
Mississippi,1998,2804834
Mississippi,1999,2828408
Mississippi,2000,2848353
Mississippi,2001,2852994
Mississippi,2002,2858681
Mississippi,2003,2868312
Mississippi,2004,2889010
Mississippi,2005,2905943
Mississippi,2006,2904978
Mississippi,2007,2928350
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970615
Mississippi,2011,2979147
Mississippi,2012,2984599
Mississippi,2013,2989839
Mississippi,2014,2991892
Mississippi,2015,2990231
Mississippi,2016,2990595
Mississippi,2017,2990674
Mississippi,2018,2982879
Mississippi,2019,2978227
Mississippi,2020,2966786
Mississippi,,88805131
Missouri,1990,5128880
Missouri,1991,5170800
Missouri,1992,5217101
Missouri,1993,5271175
Missouri,1994,5324497
Missouri,1995,5378247
Missouri,1996,5431553
Missouri,1997,5481193
Missouri,1998,5521765
Missouri,1999,5561948
Missouri,2000,5607285
Missouri,2001,5641142
Missouri,2002,5674825
Missouri,2003,5709403
Missouri,2004,5747741
Missouri,2005,5790300
Missouri,2006,5842704
Missouri,2007,5887612
Missouri,2008,5923916
Missouri,2009,5961088
Missouri,2010,5996089
Missouri,2011,6011182
Missouri,2012,6026027
Missouri,2013,6042989
Missouri,2014,6059130
Missouri,2015,6075411
Missouri,2016,6091384
Missouri,2017,6111382
Missouri,2018,6125986
Missouri,2019,6140475
Missouri,2020,6151548
Missouri,,178104778
Montana,1990,800204
Montana,1991,809680
Montana,1992,825770
Montana,1993,844761
Montana,1994,861306
Montana,1995,876553
Montana,1996,886254
Montana,1997,889865
Montana,1998,892431
Montana,1999,897507
Montana,2000,903773
Montana,2001,906961
Montana,2002,911667
Montana,2003,919630
Montana,2004,930009
Montana,2005,940102
Montana,2006,952692
Montana,2007,964706
Montana,2008,976415
Montana,2009,983982
Montana,2010,990730
Montana,2011,997518
Montana,2012,1004168
Montana,2013,1014158
Montana,2014,1022657
Montana,2015,1031495
Montana,2016,1042137
Montana,2017,1053862
Montana,2018,1061818
Montana,2019,1070123
Montana,2020,1080577
Montana,,29343511
Nebraska,1990,1581660
Nebraska,1991,1595919
Nebraska,1992,1611687
Nebraska,1993,1625590
Nebraska,1994,1639041
Nebraska,1995,1656992
Nebraska,1996,1673740
Nebraska,1997,1686418
Nebraska,1998,1695816
Nebraska,1999,1704764
Nebraska,2000,1713820
Nebraska,2001,1719836
Nebraska,2002,1728292
Nebraska,2003,1738643
Nebraska,2004,1749370
Nebraska,2005,1761497
Nebraska,2006,1772693
Nebraska,2007,1783440
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1829591
Nebraska,2011,1840914
Nebraska,2012,1853691
Nebraska,2013,1865813
Nebraska,2014,1879955
Nebraska,2015,1892059
Nebraska,2016,1906483
Nebraska,2017,1916998
Nebraska,2018,1925512
Nebraska,2019,1932571
Nebraska,2020,1937552
Nebraska,,54829418
Nevada,1990,1220695
Nevada,1991,1296171
Nevada,1992,1351367
Nevada,1993,1411215
Nevada,1994,1499298
Nevada,1995,1581578
Nevada,1996,1666320
Nevada,1997,1764104
Nevada,1998,1853191
Nevada,1999,1934718
Nevada,2000,2018741
Nevada,2001,2098399
Nevada,2002,2173791
Nevada,2003,2248850
Nevada,2004,2346222
Nevada,2005,2432143
Nevada,2006,2522658
Nevada,2007,2601072
Nevada,2008,2653630
Nevada,2009,2684665
Nevada,2010,2702483
Nevada,2011,2713114
Nevada,2012,2744670
Nevada,2013,2776956
Nevada,2014,2818935
Nevada,2015,2868531
Nevada,2016,2919555
Nevada,2017,2972097
Nevada,2018,3030725
Nevada,2019,3090771
Nevada,2020,3138259
Nevada,,71134924
New Hampshire,1990,1112384
New Hampshire,1991,1109929
New Hampshire,1992,1117784
New Hampshire,1993,1129458
New Hampshire,1994,1142560
New Hampshire,1995,1157561
New Hampshire,1996,1174719
New Hampshire,1997,1189425
New Hampshire,1998,1205940
New Hampshire,1999,1222014
New Hampshire,2000,1239882
New Hampshire,2001,1255517
New Hampshire,2002,1269089
New Hampshire,2003,1279840
New Hampshire,2004,1290121
New Hampshire,2005,1298492
New Hampshire,2006,1308389
New Hampshire,2007,1312540
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1316807
New Hampshire,2011,1320444
New Hampshire,2012,1324677
New Hampshire,2013,1327272
New Hampshire,2014,1334257
New Hampshire,2015,1337480
New Hampshire,2016,1343694
New Hampshire,2017,1350395
New Hampshire,2018,1355064
New Hampshire,2019,1360783
New Hampshire,2020,1366275
New Hampshire,,39184800
New Jersey,1990,7762963
New Jersey,1991,7814676
New Jersey,1992,7880508
New Jersey,1993,7948915
New Jersey,1994,8014306
New Jersey,1995,8083242
New Jersey,1996,8149596
New Jersey,1997,8218808
New Jersey,1998,8287418
New Jersey,1999,8359592
New Jersey,2000,8430621
New Jersey,2001,8492671
New Jersey,2002,8552643
New Jersey,2003,8601402
New Jersey,2004,8634561
New Jersey,2005,8651974
New Jersey,2006,8661679
New Jersey,2007,8677885
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8799451
New Jersey,2011,8828552
New Jersey,2012,8845671
New Jersey,2013,8857821
New Jersey,2014,8867277
New Jersey,2015,8870312
New Jersey,2016,8873584
New Jersey,2017,8888147
New Jersey,2018,8891730
New Jersey,2019,8891258
New Jersey,2020,8882371
New Jersey,,264186326
New Mexico,1990,1521574
New Mexico,1991,1555305
New Mexico,1992,1595442
New Mexico,1993,1636453
New Mexico,1994,1682398
New Mexico,1995,1720394
New Mexico,1996,1752326
New Mexico,1997,1774839
New Mexico,1998,1793484
New Mexico,1999,1808082
New Mexico,2000,1821204
New Mexico,2001,1831690
New Mexico,2002,1855309
New Mexico,2003,1877574
New Mexico,2004,1903808
New Mexico,2005,1932274
New Mexico,2006,1962137
New Mexico,2007,1990070
New Mexico,2008,2010662
New Mexico,2009,2036802
New Mexico,2010,2064614
New Mexico,2011,2080707
New Mexico,2012,2087715
New Mexico,2013,2092833
New Mexico,2014,2090236
New Mexico,2015,2090071
New Mexico,2016,2092555
New Mexico,2017,2092844
New Mexico,2018,2093754
New Mexico,2019,2099634
New Mexico,2020,2106319
New Mexico,,59053109
New York,1990,18020784
New York,1991,18122510
New York,1992,18246653
New York,1993,18374954
New York,1994,18459470
New York,1995,18524104
New York,1996,18588460
New York,1997,18656546
New York,1998,18755906
New York,1999,18882725
New York,2000,19001780
New York,2001,19082838
New York,2002,19137800
New York,2003,19175939
New York,2004,19171567
New York,2005,19132610
New York,2006,19104631
New York,2007,19132335
New York,2008,19212436
New York,2009,19307066
New York,2010,19399956
New York,2011,19499921
New York,2012,19574362
New York,2013,19626488
New York,2014,19653431
New York,2015,19657321
New York,2016,19636391
New York,2017,19593849
New York,2018,19544098
New York,2019,19463131
New York,2020,19336776
New York,,591076838
North Carolina,1990,6664016
North Carolina,1991,6784280
North Carolina,1992,6897214
North Carolina,1993,7042818
North Carolina,1994,7187398
North Carolina,1995,7344674
North Carolina,1996,7500670
North Carolina,1997,7656825
North Carolina,1998,7809121
North Carolina,1999,7949361
North Carolina,2000,8081614
North Carolina,2001,8210122
North Carolina,2002,8326201
North Carolina,2003,8422501
North Carolina,2004,8553152
North Carolina,2005,8705407
North Carolina,2006,8917270
North Carolina,2007,9118037
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9574586
North Carolina,2011,9658913
North Carolina,2012,9751810
North Carolina,2013,9846717
North Carolina,2014,9937295
North Carolina,2015,10037218
North Carolina,2016,10161802
North Carolina,2017,10275758
North Carolina,2018,10391358
North Carolina,2019,10501384
North Carolina,2020,10600823
North Carolina,,270667360
North Dakota,1990,637685
North Dakota,1991,635753
North Dakota,1992,638223
North Dakota,1993,641216
North Dakota,1994,644804
North Dakota,1995,647832
North Dakota,1996,650382
North Dakota,1997,649716
North Dakota,1998,647532
North Dakota,1999,644259
North Dakota,2000,642023
North Dakota,2001,639062
North Dakota,2002,638168
North Dakota,2003,638817
North Dakota,2004,644705
North Dakota,2005,646089
North Dakota,2006,649422
North Dakota,2007,652822
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,674752
North Dakota,2011,685526
North Dakota,2012,702227
North Dakota,2013,723149
North Dakota,2014,738736
North Dakota,2015,755537
North Dakota,2016,756114
North Dakota,2017,756755
North Dakota,2018,760062
North Dakota,2019,763724
North Dakota,2020,765309
North Dakota,,20992938
Ohio,1990,10864162
Ohio,1991,10945762
Ohio,1992,11029431
Ohio,1993,11101140
Ohio,1994,11152454
Ohio,1995,11202751
Ohio,1996,11242827
Ohio,1997,11277357
Ohio,1998,11311536
Ohio,1999,11335454
Ohio,2000,11363543
Ohio,2001,11387404
Ohio,2002,11407889
Ohio,2003,11434788
Ohio,2004,11452251
Ohio,2005,11463320
Ohio,2006,11481213
Ohio,2007,11500468
Ohio,2008,11515391
Ohio,2009,11528896
Ohio,2010,11539449
Ohio,2011,11545735
Ohio,2012,11550971
Ohio,2013,11579692
Ohio,2014,11606573
Ohio,2015,11622315
Ohio,2016,11640060
Ohio,2017,11665706
Ohio,2018,11680892
Ohio,2019,11696507
Ohio,2020,11693217
Ohio,,353819154
Oklahoma,1990,3148825
Oklahoma,1991,3175440
