Notes,State,State Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,California,6,2020,2020,39368078
Total,California,6,,,1098059917
,Colorado,8,1990,1990,3307618
,Colorado,8,1991,1991,3387119
,Colorado,8,1992,1992,3495939
,Colorado,8,1993,1993,3613734
,Colorado,8,1994,1994,3724168
,Colorado,8,1995,1995,3826653
,Colorado,8,1996,1996,3919972
,Colorado,8,1997,1997,4018293
,Colorado,8,1998,1998,4116639
,Colorado,8,1999,1999,4226018
,Colorado,8,2000,2000,4326921
,Colorado,8,2001,2001,4425687
,Colorado,8,2002,2002,4490406
,Colorado,8,2003,2003,4528732
,Colorado,8,2004,2004,4575013
,Colorado,8,2005,2005,4631888
,Colorado,8,2006,2006,4720423
,Colorado,8,2007,2007,4803868
,Colorado,8,2008,2008,4889730
,Colorado,8,2009,2009,4972195
,Colorado,8,2010,2010,5047539
,Colorado,8,2011,2011,5121900
,Colorado,8,2012,2012,5193660
,Colorado,8,2013,2013,5270774
,Colorado,8,2014,2014,5352637
,Colorado,8,2015,2015,5454328
,Colorado,8,2016,2016,5543844
,Colorado,8,2017,2017,5617421
,Colorado,8,2018,2018,5697155
,Colorado,8,2019,2019,5758486
,Colorado,8,2020,2020,5807719
Total,Colorado,8,,,143866479
,Connecticut,9,1990,1990,3291967
,Connecticut,9,1991,1991,3302895
,Connecticut,9,1992,1992,3300712
,Connecticut,9,1993,1993,3309175
,Connecticut,9,1994,1994,3316121
,Connecticut,9,1995,1995,3324144
,Connecticut,9,1996,1996,3336685
,Connecticut,9,1997,1997,3349348
,Connecticut,9,1998,1998,3365352
,Connecticut,9,1999,1999,3386401
,Connecticut,9,2000,2000,3411777
,Connecticut,9,2001,2001,3432835
,Connecticut,9,2002,2002,3458749
,Connecticut,9,2003,2003,3484336
,Connecticut,9,2004,2004,3496094
,Connecticut,9,2005,2005,3506956
,Connecticut,9,2006,2006,3517460
,Connecticut,9,2007,2007,3527270
,Connecticut,9,2008,2008,3545579
,Connecticut,9,2009,2009,3561807
,Connecticut,9,2010,2010,3579173
,Connecticut,9,2011,2011,3588632
,Connecticut,9,2012,2012,3595211
,Connecticut,9,2013,2013,3595792
,Connecticut,9,2014,2014,3595697
,Connecticut,9,2015,2015,3588561
,Connecticut,9,2016,2016,3579830
,Connecticut,9,2017,2017,3575324
,Connecticut,9,2018,2018,3574561
,Connecticut,9,2019,2019,3566022
,Connecticut,9,2020,2020,3557006
Total,Connecticut,9,,,107621472
,Delaware,10,1990,1990,669567
,Delaware,10,1991,1991,683080
,Delaware,10,1992,1992,694925
,Delaware,10,1993,1993,706378
,Delaware,10,1994,1994,717545
,Delaware,10,1995,1995,729734
,Delaware,10,1996,1996,740977
,Delaware,10,1997,1997,751487
,Delaware,10,1998,1998,763335
,Delaware,10,1999,1999,774990
,Delaware,10,2000,2000,786373
,Delaware,10,2001,2001,795699
,Delaware,10,2002,2002,806169
,Delaware,10,2003,2003,818003
,Delaware,10,2004,2004,830803
,Delaware,10,2005,2005,845150
,Delaware,10,2006,2006,859268
,Delaware,10,2007,2007,871749
,Delaware,10,2008,2008,883874
,Delaware,10,2009,2009,891730
,Delaware,10,2010,2010,899647
,Delaware,10,2011,2011,907590
,Delaware,10,2012,2012,915518
,Delaware,10,2013,2013,924062
,Delaware,10,2014,2014,933131
,Delaware,10,2015,2015,942065
,Delaware,10,2016,2016,949989
,Delaware,10,2017,2017,957942
,Delaware,10,2018,2018,966985
,Delaware,10,2019,2019,976668
,Delaware,10,2020,2020,986809
Total,Delaware,10,,,25981242
,District of Columbia,11,1990,1990,605321
,District of Columbia,11,1991,1991,600870
,District of Columbia,11,1992,1992,597565
,District of Columbia,11,1993,1993,595301
,District of Columbia,11,1994,1994,589239
,District of Columbia,11,1995,1995,580517
,District of Columbia,11,1996,1996,572377
,District of Columbia,11,1997,1997,567736
,District of Columbia,11,1998,1998,565230
,District of Columbia,11,1999,1999,570213
,District of Columbia,11,2000,2000,572046
,District of Columbia,11,2001,2001,574504
,District of Columbia,11,2002,2002,573158
,District of Columbia,11,2003,2003,568502
,District of Columbia,11,2004,2004,567754
,District of Columbia,11,2005,2005,567136
,District of Columbia,11,2006,2006,570681
,District of Columbia,11,2007,2007,574404
,District of Columbia,11,2008,2008,580236
,District of Columbia,11,2009,2009,592228
,District of Columbia,11,2010,2010,605282
,District of Columbia,11,2011,2011,620290
,District of Columbia,11,2012,2012,635737
,District of Columbia,11,2013,2013,651559
,District of Columbia,11,2014,2014,663603
,District of Columbia,11,2015,2015,677014
,District of Columbia,11,2016,2016,687576
,District of Columbia,11,2017,2017,697079
,District of Columbia,11,2018,2018,704147
,District of Columbia,11,2019,2019,708253
,District of Columbia,11,2020,2020,712816
Total,District of Columbia,11,,,18948374
,Florida,12,1990,1990,13033307
,Florida,12,1991,1991,13369798
,Florida,12,1992,1992,13650553
,Florida,12,1993,1993,13927185
,Florida,12,1994,1994,14239444
,Florida,12,1995,1995,14537875
,Florida,12,1996,1996,14853360
,Florida,12,1997,1997,15186304
,Florida,12,1998,1998,15486559
,Florida,12,1999,1999,15759421
,Florida,12,2000,2000,16047515
,Florida,12,2001,2001,16356966
,Florida,12,2002,2002,16689370
,Florida,12,2003,2003,17004085
,Florida,12,2004,2004,17415318
,Florida,12,2005,2005,17842038
,Florida,12,2006,2006,18166990
,Florida,12,2007,2007,18367842
,Florida,12,2008,2008,18527305
,Florida,12,2009,2009,18652644
,Florida,12,2010,2010,18846143
,Florida,12,2011,2011,19055607
,Florida,12,2012,2012,19302016
,Florida,12,2013,2013,19551678
,Florida,12,2014,2014,19853880
,Florida,12,2015,2015,20219111
,Florida,12,2016,2016,20627237
,Florida,12,2017,2017,20977089
,Florida,12,2018,2018,21254926
,Florida,12,2019,2019,21492056
,Florida,12,2020,2020,21733312
Total,Florida,12,,,542026934
,Georgia,13,1990,1990,6512602
,Georgia,13,1991,1991,6653005
,Georgia,13,1992,1992,6817203
,Georgia,13,1993,1993,6978240
,Georgia,13,1994,1994,7157165
,Georgia,13,1995,1995,7328413
,Georgia,13,1996,1996,7501069
,Georgia,13,1997,1997,7685099
,Georgia,13,1998,1998,7863536
,Georgia,13,1999,1999,8045965
,Georgia,13,2000,2000,8227303
,Georgia,13,2001,2001,8377038
,Georgia,13,2002,2002,8508256
,Georgia,13,2003,2003,8622793
,Georgia,13,2004,2004,8769252
,Georgia,13,2005,2005,8925922
,Georgia,13,2006,2006,9155813
,Georgia,13,2007,2007,9349988
,Georgia,13,2008,2008,9504843
,Georgia,13,2009,2009,9620846
,Georgia,13,2010,2010,9712209
,Georgia,13,2011,2011,9803630
,Georgia,13,2012,2012,9903580
,Georgia,13,2013,2013,9975592
,Georgia,13,2014,2014,10071204
,Georgia,13,2015,2015,10183353
,Georgia,13,2016,2016,10308442
,Georgia,13,2017,2017,10417031
,Georgia,13,2018,2018,10519389
,Georgia,13,2019,2019,10628020
,Georgia,13,2020,2020,10710017
Total,Georgia,13,,,273836818
,Hawaii,15,1990,1990,1113491
,Hawaii,15,1991,1991,1136754
,Hawaii,15,1992,1992,1158613
,Hawaii,15,1993,1993,1172838
,Hawaii,15,1994,1994,1187536
,Hawaii,15,1995,1995,1196854
,Hawaii,15,1996,1996,1203755
,Hawaii,15,1997,1997,1211640
,Hawaii,15,1998,1998,1215233
,Hawaii,15,1999,1999,1210300
,Hawaii,15,2000,2000,1213519
,Hawaii,15,2001,2001,1225948
,Hawaii,15,2002,2002,1239613
,Hawaii,15,2003,2003,1251154
,Hawaii,15,2004,2004,1273569
,Hawaii,15,2005,2005,1292729
,Hawaii,15,2006,2006,1309731
,Hawaii,15,2007,2007,1315675
,Hawaii,15,2008,2008,1332213
,Hawaii,15,2009,2009,1346717
,Hawaii,15,2010,2010,1364004
,Hawaii,15,2011,2011,1379562
,Hawaii,15,2012,2012,1395199
,Hawaii,15,2013,2013,1408822
,Hawaii,15,2014,2014,1415335
,Hawaii,15,2015,2015,1422999
,Hawaii,15,2016,2016,1428885
,Hawaii,15,2017,2017,1425763
,Hawaii,15,2018,2018,1423102
,Hawaii,15,2019,2019,1415615
,Hawaii,15,2020,2020,1407006
Total,Hawaii,15,,,40094174
,Idaho,16,1990,1990,1012384
,Idaho,16,1991,1991,1041316
,Idaho,16,1992,1992,1071685
,Idaho,16,1993,1993,1108768
,Idaho,16,1994,1994,1145140
,Idaho,16,1995,1995,1177322
,Idaho,16,1996,1996,1203083
,Idaho,16,1997,1997,1228520
,Idaho,16,1998,1998,1252330
,Idaho,16,1999,1999,1275674
,Idaho,16,2000,2000,1299430
,Idaho,16,2001,2001,1319962
,Idaho,16,2002,2002,1340372
,Idaho,16,2003,2003,1363380
,Idaho,16,2004,2004,1391802
,Idaho,16,2005,2005,1428241
,Idaho,16,2006,2006,1468669
,Idaho,16,2007,2007,1505105
,Idaho,16,2008,2008,1534320
,Idaho,16,2009,2009,1554439
,Idaho,16,2010,2010,1570819
,Idaho,16,2011,2011,1584272
,Idaho,16,2012,2012,1595910
,Idaho,16,2013,2013,1612053
,Idaho,16,2014,2014,1632248
,Idaho,16,2015,2015,1652495
,Idaho,16,2016,2016,1684036
,Idaho,16,2017,2017,1719745
,Idaho,16,2018,2018,1752074
,Idaho,16,2019,2019,1789060
,Idaho,16,2020,2020,1826913
Total,Idaho,16,,,44141567
,Illinois,17,1990,1990,11453316
,Illinois,17,1991,1991,11568964
,Illinois,17,1992,1992,11694184
,Illinois,17,1993,1993,11809579
,Illinois,17,1994,1994,11912585
,Illinois,17,1995,1995,12008437
,Illinois,17,1996,1996,12101997
,Illinois,17,1997,1997,12185715
,Illinois,17,1998,1998,12271847
,Illinois,17,1999,1999,12359020
,Illinois,17,2000,2000,12434161
,Illinois,17,2001,2001,12488445
,Illinois,17,2002,2002,12525556
,Illinois,17,2003,2003,12556006
,Illinois,17,2004,2004,12589773
,Illinois,17,2005,2005,12609903
,Illinois,17,2006,2006,12643955
,Illinois,17,2007,2007,12695866
,Illinois,17,2008,2008,12747038
,Illinois,17,2009,2009,12796778
,Illinois,17,2010,2010,12840545
,Illinois,17,2011,2011,12867783
,Illinois,17,2012,2012,12883029
,Illinois,17,2013,2013,12895778
,Illinois,17,2014,2014,12885092
,Illinois,17,2015,2015,12859585
,Illinois,17,2016,2016,12821709
,Illinois,17,2017,2017,12779893
,Illinois,17,2018,2018,12724685
,Illinois,17,2019,2019,12667017
,Illinois,17,2020,2020,12587530
Total,Illinois,17,,,386265771
,Indiana,18,1990,1990,5557798
,Indiana,18,1991,1991,5616388
,Indiana,18,1992,1992,5674547
,Indiana,18,1993,1993,5739019
,Indiana,18,1994,1994,5793526
,Indiana,18,1995,1995,5851459
,Indiana,18,1996,1996,5906013
,Indiana,18,1997,1997,5955267
,Indiana,18,1998,1998,5998880
,Indiana,18,1999,1999,6044969
,Indiana,18,2000,2000,6091866
,Indiana,18,2001,2001,6127760
,Indiana,18,2002,2002,6155967
,Indiana,18,2003,2003,6196638
,Indiana,18,2004,2004,6233007
,Indiana,18,2005,2005,6278616
,Indiana,18,2006,2006,6332669
,Indiana,18,2007,2007,6379599
,Indiana,18,2008,2008,6424806
,Indiana,18,2009,2009,6459325
,Indiana,18,2010,2010,6490555
,Indiana,18,2011,2011,6517250
,Indiana,18,2012,2012,6538989
,Indiana,18,2013,2013,6570575
,Indiana,18,2014,2014,6596019
,Indiana,18,2015,2015,6611442
,Indiana,18,2016,2016,6637898
,Indiana,18,2017,2017,6662068
,Indiana,18,2018,2018,6698481
,Indiana,18,2019,2019,6731010
,Indiana,18,2020,2020,6754953
Total,Indiana,18,,,193627359
,Iowa,19,1990,1990,2781018
,Iowa,19,1991,1991,2797613
,Iowa,19,1992,1992,2818401
,Iowa,19,1993,1993,2836972
,Iowa,19,1994,1994,2850746
,Iowa,19,1995,1995,2867373
,Iowa,19,1996,1996,2880000
,Iowa,19,1997,1997,2891119
,Iowa,19,1998,1998,2902872
,Iowa,19,1999,1999,2917634
,Iowa,19,2000,2000,2929067
,Iowa,19,2001,2001,2931997
,Iowa,19,2002,2002,2934234
,Iowa,19,2003,2003,2941999
,Iowa,19,2004,2004,2953635
,Iowa,19,2005,2005,2964454
,Iowa,19,2006,2006,2982644
,Iowa,19,2007,2007,2999212
,Iowa,19,2008,2008,3016734
,Iowa,19,2009,2009,3032870
,Iowa,19,2010,2010,3050819
,Iowa,19,2011,2011,3066772
,Iowa,19,2012,2012,3076844
,Iowa,19,2013,2013,3093935
,Iowa,19,2014,2014,3110643
,Iowa,19,2015,2015,3122541
,Iowa,19,2016,2016,3133210
,Iowa,19,2017,2017,3143734
,Iowa,19,2018,2018,3149900
,Iowa,19,2019,2019,3159596
,Iowa,19,2020,2020,3163561
Total,Iowa,19,,,92502149
,Kansas,20,1990,1990,2481349
,Kansas,20,1991,1991,2498722
,Kansas,20,1992,1992,2532394
,Kansas,20,1993,1993,2556547
,Kansas,20,1994,1994,2580513
,Kansas,20,1995,1995,2601007
,Kansas,20,1996,1996,2614554
,Kansas,20,1997,1997,2635292
,Kansas,20,1998,1998,2660598
,Kansas,20,1999,1999,2678338
,Kansas,20,2000,2000,2693681
,Kansas,20,2001,2001,2702162
,Kansas,20,2002,2002,2713535
,Kansas,20,2003,2003,2723004
,Kansas,20,2004,2004,2734373
,Kansas,20,2005,2005,2745299
,Kansas,20,2006,2006,2762931
,Kansas,20,2007,2007,2783785
,Kansas,20,2008,2008,2808076
,Kansas,20,2009,2009,2832704
,Kansas,20,2010,2010,2858266
,Kansas,20,2011,2011,2869677
,Kansas,20,2012,2012,2886024
,Kansas,20,2013,2013,2894306
,Kansas,20,2014,2014,2901861
,Kansas,20,2015,2015,2910717
,Kansas,20,2016,2016,2912977
,Kansas,20,2017,2017,2910892
,Kansas,20,2018,2018,2912748
,Kansas,20,2019,2019,2912635
,Kansas,20,2020,2020,2913805
Total,Kansas,20,,,85222772
,Kentucky,21,1990,1990,3694048
,Kentucky,21,1991,1991,3722328
,Kentucky,21,1992,1992,3765469
,Kentucky,21,1993,1993,3812206
,Kentucky,21,1994,1994,3849088
,Kentucky,21,1995,1995,3887427
,Kentucky,21,1996,1996,3919535
,Kentucky,21,1997,1997,3952747
,Kentucky,21,1998,1998,3985390
,Kentucky,21,1999,1999,4018053
,Kentucky,21,2000,2000,4049021
,Kentucky,21,2001,2001,4068132
,Kentucky,21,2002,2002,4089875
,Kentucky,21,2003,2003,4117170
,Kentucky,21,2004,2004,4146101
,Kentucky,21,2005,2005,4182742
,Kentucky,21,2006,2006,4219239
,Kentucky,21,2007,2007,4256672
,Kentucky,21,2008,2008,4289878
,Kentucky,21,2009,2009,4317074
,Kentucky,21,2010,2010,4348464
,Kentucky,21,2011,2011,4370817
,Kentucky,21,2012,2012,4387865
,Kentucky,21,2013,2013,4406906
,Kentucky,21,2014,2014,4416992
,Kentucky,21,2015,2015,4429126
,Kentucky,21,2016,2016,4440306
,Kentucky,21,2017,2017,4455590
,Kentucky,21,2018,2018,4464273
,Kentucky,21,2019,2019,4472345
,Kentucky,21,2020,2020,4477251
Total,Kentucky,21,,,129012130
,Louisiana,22,1990,1990,4221532
,Louisiana,22,1991,1991,4253279
,Louisiana,22,1992,1992,4293003
,Louisiana,22,1993,1993,4316428
,Louisiana,22,1994,1994,4347481
,Louisiana,22,1995,1995,4378779
,Louisiana,22,1996,1996,4398877
,Louisiana,22,1997,1997,4421071
,Louisiana,22,1998,1998,4440344
,Louisiana,22,1999,1999,4460811
,Louisiana,22,2000,2000,4471885
,Louisiana,22,2001,2001,4477875
,Louisiana,22,2002,2002,4497267
,Louisiana,22,2003,2003,4521042
,Louisiana,22,2004,2004,4552238
,Louisiana,22,2005,2005,4576628
,Louisiana,22,2006,2006,4302665
,Louisiana,22,2007,2007,4375581
,Louisiana,22,2008,2008,4435586
,Louisiana,22,2009,2009,4491648
,Louisiana,22,2010,2010,4544635
,Louisiana,22,2011,2011,4576244
,Louisiana,22,2012,2012,4602067
,Louisiana,22,2013,2013,4626040
,Louisiana,22,2014,2014,4645938
,Louisiana,22,2015,2015,4666998
,Louisiana,22,2016,2016,4681346
,Louisiana,22,2017,2017,4673673
,Louisiana,22,2018,2018,4664450
,Louisiana,22,2019,2019,4658285
,Louisiana,22,2020,2020,4645318
Total,Louisiana,22,,,139219014
,Maine,23,1990,1990,1231719
,Maine,23,1991,1991,1237081
,Maine,23,1992,1992,1238508
,Maine,23,1993,1993,1242302
,Maine,23,1994,1994,1242662
,Maine,23,1995,1995,1243480
,Maine,23,1996,1996,1249060
,Maine,23,1997,1997,1254774
,Maine,23,1998,1998,1259127
,Maine,23,1999,1999,1266808
,Maine,23,2000,2000,1277072
,Maine,23,2001,2001,1285692
,Maine,23,2002,2002,1295960
,Maine,23,2003,2003,1306513
,Maine,23,2004,2004,1313688
,Maine,23,2005,2005,1318787
,Maine,23,2006,2006,1323619
,Maine,23,2007,2007,1327040
,Maine,23,2008,2008,1330509
,Maine,23,2009,2009,1329590
,Maine,23,2010,2010,1327651
,Maine,23,2011,2011,1328473
,Maine,23,2012,2012,1328094
,Maine,23,2013,2013,1328543
,Maine,23,2014,2014,1331217
,Maine,23,2015,2015,1329098
,Maine,23,2016,2016,1332348
,Maine,23,2017,2017,1335743
,Maine,23,2018,2018,1340123
,Maine,23,2019,2019,1345770
,Maine,23,2020,2020,1350141
Total,Maine,23,,,40251192
,Maryland,24,1990,1990,4799770
,Maryland,24,1991,1991,4867641
,Maryland,24,1992,1992,4923368
,Maryland,24,1993,1993,4971889
,Maryland,24,1994,1994,5023060
,Maryland,24,1995,1995,5070033
,Maryland,24,1996,1996,5111986
,Maryland,24,1997,1997,5157328
,Maryland,24,1998,1998,5204464
,Maryland,24,1999,1999,5254509
,Maryland,24,2000,2000,5311034
,Maryland,24,2001,2001,5374691
,Maryland,24,2002,2002,5440389
,Maryland,24,2003,2003,5496269
,Maryland,24,2004,2004,5546935
,Maryland,24,2005,2005,5592379
,Maryland,24,2006,2006,5627367
,Maryland,24,2007,2007,5653408
,Maryland,24,2008,2008,5684965
,Maryland,24,2009,2009,5730388
,Maryland,24,2010,2010,5788784
,Maryland,24,2011,2011,5840241
,Maryland,24,2012,2012,5888375
,Maryland,24,2013,2013,5925197
,Maryland,24,2014,2014,5960064
,Maryland,24,2015,2015,5988528
,Maryland,24,2016,2016,6007014
,Maryland,24,2017,2017,6028186
,Maryland,24,2018,2018,6042153
,Maryland,24,2019,2019,6054954
,Maryland,24,2020,2020,6055802
Total,Maryland,24,,,171421171
,Massachusetts,25,1990,1990,6022639
,Massachusetts,25,1991,1991,6018470
,Massachusetts,25,1992,1992,6028709
,Massachusetts,25,1993,1993,6060569
,Massachusetts,25,1994,1994,6095241
,Massachusetts,25,1995,1995,6141445
,Massachusetts,25,1996,1996,6179756
,Massachusetts,25,1997,1997,6226058
,Massachusetts,25,1998,1998,6271838
,Massachusetts,25,1999,1999,6317345
,Massachusetts,25,2000,2000,6361104
,Massachusetts,25,2001,2001,6397634
,Massachusetts,25,2002,2002,6417206
,Massachusetts,25,2003,2003,6422565
,Massachusetts,25,2004,2004,6412281
,Massachusetts,25,2005,2005,6403290
,Massachusetts,25,2006,2006,6410084
,Massachusetts,25,2007,2007,6431559
,Massachusetts,25,2008,2008,6468967
,Massachusetts,25,2009,2009,6517613
,Massachusetts,25,2010,2010,6566440
,Massachusetts,25,2011,2011,6614218
,Massachusetts,25,2012,2012,6664269
,Massachusetts,25,2013,2013,6715158
,Massachusetts,25,2014,2014,6764864
,Massachusetts,25,2015,2015,6797484
,Massachusetts,25,2016,2016,6827280
,Massachusetts,25,2017,2017,6863560
,Massachusetts,25,2018,2018,6885720
,Massachusetts,25,2019,2019,6894883
,Massachusetts,25,2020,2020,6893574
Total,Massachusetts,25,,,200091823
,Michigan,26,1990,1990,9311319
,Michigan,26,1991,1991,9400446
,Michigan,26,1992,1992,9479065
,Michigan,26,1993,1993,9540114
,Michigan,26,1994,1994,9597737
,Michigan,26,1995,1995,9676211
,Michigan,26,1996,1996,9758645
,Michigan,26,1997,1997,9809051
,Michigan,26,1998,1998,9847942
,Michigan,26,1999,1999,9897116
,Michigan,26,2000,2000,9952450
,Michigan,26,2001,2001,9991120
,Michigan,26,2002,2002,10015710
,Michigan,26,2003,2003,10041152
,Michigan,26,2004,2004,10055315
,Michigan,26,2005,2005,10051137
,Michigan,26,2006,2006,10036081
,Michigan,26,2007,2007,10001284
,Michigan,26,2008,2008,9946889
,Michigan,26,2009,2009,9901591
,Michigan,26,2010,2010,9877597
,Michigan,26,2011,2011,9883053
,Michigan,26,2012,2012,9898289
,Michigan,26,2013,2013,9914802
,Michigan,26,2014,2014,9932033
,Michigan,26,2015,2015,9934483
,Michigan,26,2016,2016,9954117
,Michigan,26,2017,2017,9976752
,Michigan,26,2018,2018,9987286
,Michigan,26,2019,2019,9984795
,Michigan,26,2020,2020,9966555
Total,Michigan,26,,,305620137
,Minnesota,27,1990,1990,4389857
,Minnesota,27,1991,1991,4440859
,Minnesota,27,1992,1992,4495572
,Minnesota,27,1993,1993,4555954
,Minnesota,27,1994,1994,4610355
,Minnesota,27,1995,1995,4660180
,Minnesota,27,1996,1996,4712827
,Minnesota,27,1997,1997,4763390
,Minnesota,27,1998,1998,4813412
,Minnesota,27,1999,1999,4873481
,Minnesota,27,2000,2000,4933692
,Minnesota,27,2001,2001,4982796
,Minnesota,27,2002,2002,5018935
,Minnesota,27,2003,2003,5053572
,Minnesota,27,2004,2004,5087713
,Minnesota,27,2005,2005,5119598
,Minnesota,27,2006,2006,5163555
,Minnesota,27,2007,2007,5207203
,Minnesota,27,2008,2008,5247018
,Minnesota,27,2009,2009,5281203
,Minnesota,27,2010,2010,5310934
,Minnesota,27,2011,2011,5346620
,Minnesota,27,2012,2012,5377500
,Minnesota,27,2013,2013,5414722
,Minnesota,27,2014,2014,5452665
,Minnesota,27,2015,2015,5484002
,Minnesota,27,2016,2016,5525360
,Minnesota,27,2017,2017,5569283
,Minnesota,27,2018,2018,5608762
,Minnesota,27,2019,2019,5640053
,Minnesota,27,2020,2020,5657342
Total,Minnesota,27,,,157798415
,Mississippi,28,1990,1990,2578897
,Mississippi,28,1991,1991,2598733
,Mississippi,28,1992,1992,2623734
